Country code,Index,Country,Region,Previous,Last,Change,%,Googlefinance Ticker,Direction
:TH:,SET Index,:TH: Thailand,Asean,1115.65,1110.4,-5.25,-0.004705776901357953,-,min
:VN:,VN 30,:VN: Vietnam,Asean,1543.27,1569.34,26.07,0.01689270186033552,-,plus
:PH:,PSEi,:PH: Philipines,Asean,6504.34,6463.2,-41.14,-0.006325007610303275,INDEXBKK:SSET,min
:IN:,SENSEX,:IN: India,Asia-Pacific,83311.13,83190.28,-120.85,-0.001450586494265532,VNINDEX:IND,min
:CN:,SSEC,:CN: China,Asia-Pacific,3493.0499999999997,3509.68,16.63,0.004760882323470893,-,plus
:KR:,KOSPI,:KR: South Korea,Asia-Pacific,3133.74,3183.23,49.49000000000024,0.01579263116914621,KRX:KOSPI,plus
:HK:,Hang Seng ,:HK: Hong Kong,Asia-Pacific,23892.32,24028.37,136.04999999999927,0.005694298418906129,INDEXHANGSENG:HSI,plus
:JP:,Nikkei 225,:JP: Japan,Asia-Pacific,39821.28,39646.36,-174.91999999999825,-0.00439262625410329,INDEXNIKKEI:NI225,min
