Tanggal,SUM of IHSG
Mon Jan 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),5219.99
Tue Jan 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),5169.06
Wed Jan 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),5207.12
Thu Jan 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),5211.83
Fri Jan 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),5216.66
Sat Jan 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),5216.66
Sun Jan 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),5216.66
Mon Jan 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),5187.93
Tue Jan 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),5214.36
Wed Jan 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),5159.67
Thu Jan 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),5188.71
Fri Jan 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),5148.38
Sat Jan 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),5148.38
Sun Jan 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),5148.38
Mon Jan 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),5152.09
Tue Jan 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),5166.09
Wed Jan 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),5215.27
Thu Jan 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),5253.18
Fri Jan 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),5323.89
Sat Jan 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),5323.89
Sun Jan 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),5323.89
Mon Jan 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),5260.02
Tue Jan 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),5277.15
Wed Jan 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),5268.85
Thu Jan 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),5262.72
Fri Jan 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),5289.4
Sat Jan 31 2015 00:00:00 GMT+0700 (Western Indonesia Time),5289.4
Sun Feb 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),5289.4
Mon Feb 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),5276.24
Tue Feb 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),5291.72
Wed Feb 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),5315.28
Thu Feb 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),5279.9
Fri Feb 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),5342.52
Sat Feb 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),5342.52
Sun Feb 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),5342.52
Mon Feb 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),5348.47
Tue Feb 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),5321.47
Wed Feb 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),5336.52
Thu Feb 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),5343.41
Fri Feb 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),5374.16
Sat Feb 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),5374.16
Sun Feb 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),5374.16
Mon Feb 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),5325.49
Tue Feb 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),5337.5
Wed Feb 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),5390.45
Thu Feb 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),5390.45
Fri Feb 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),5400.1
Sat Feb 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),5400.1
Sun Feb 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),5400.1
Mon Feb 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),5403.28
Tue Feb 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),5417.31
Wed Feb 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),5445.11
Thu Feb 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),5451.42
Fri Feb 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),5450.29
Sat Feb 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),5450.29
Sun Mar 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),5450.29
Mon Mar 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),5477.83
Tue Mar 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),5474.62
Wed Mar 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),5448.06
Thu Mar 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),5450.95
Fri Mar 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),5514.79
Sat Mar 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),5514.79
Sun Mar 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),5514.79
Mon Mar 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),5444.63
Tue Mar 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),5462.93
Wed Mar 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),5419.57
Thu Mar 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),5439.83
Fri Mar 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),5426.47
Sat Mar 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),5426.47
Sun Mar 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),5426.47
Mon Mar 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),5435.27
Tue Mar 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),5439.15
Wed Mar 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),5413.15
Thu Mar 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),5453.85
Fri Mar 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),5443.06
Sat Mar 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),5443.06
Sun Mar 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),5443.06
Mon Mar 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),5437.1
Tue Mar 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),5447.65
Wed Mar 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),5405.49
Thu Mar 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),5368.8
Fri Mar 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),5396.85
Sat Mar 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),5396.85
Sun Mar 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),5396.85
Mon Mar 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),5438.66
Tue Mar 31 2015 00:00:00 GMT+0700 (Western Indonesia Time),5518.68
Wed Apr 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),5466.87
Thu Apr 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),5456.4
Fri Apr 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),5456.4
Sat Apr 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),5456.4
Sun Apr 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),5456.4
Mon Apr 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),5480.03
Tue Apr 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),5523.29
Wed Apr 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),5486.58
