,Index,Country,Region,Previous,Last,Change,%,Googlefinance Ticker,Direction
:US:,Dow Jones,:US: US,America,49526.17,49479.04,-47.12999999999738,-0.09516181041255034,INDEXDJX:.DJI,min
:US:,S&P 500,:US: US,America,7408.5,7363.9,-44.600000000000364,-0.6020112033475111,INDEXSP:.INX,min
:US:,Nasdaq Composite,:US: US,America,26225.15,25923,-302.15000000000146,-1.1521383099810731,INDEXNASDAQ:.IXIC,min
:US:,NYSE Composite,:US: US,America,22799.43,22860.78,61.349999999998545,0.26908567451027743,INDEXNYSEGIS:NYA,plus
:UK:,FTSE 100,:UK: UK,Europe,10195.37,10323.75,128.3799999999992,1.2591990285786507,INDEXFTSE:UKX,plus
:DE:,DAX,:DE: Germany,Europe,23950.57,24307.92,357.34999999999854,1.4920312961236353,INDEXDB:DAX,plus
:FR:,CAC 40,:FR: France,Europe,7952.55,7987.49,34.9399999999996,0.43935592985897104,INDEXEURO:PX1,plus
