Tanggal,Sekuritas,Opinion,Opini Sekuritas,Support,Resistance,Pivot,Opininion Direction,Act. change,Act. direction,hit,,
Fri Mar 22 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi bergerak sideways cenderung menguat,MNC Sekuritas^IHSG diprediksi bergerak sideways cenderung menguat^,7197,7492,,1,0.16,1,1,,
Fri Mar 22 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG diperkirakan mengalami pelemahan terbatas ke kisaran level 7.320 – 7.330,Phintraco Sekuritas^IHSG diperkirakan mengalami pelemahan terbatas ke kisaran level 7.320 – 7.330^,,,,-1,0.16,1,0,,
Mon Mar 25 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,IHSG diperkirakan bergerak sideways cenderung melemah,RHB Sekuritas^IHSG diperkirakan bergerak sideways cenderung melemah^,7200,7400,,-1,-0.29,-1,1,,
Mon Mar 25 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi masih akan melanjutkan penguatan,MNC Sekuritas^IHSG diprediksi masih akan melanjutkan penguatan^,7197,7492,,1,-0.29,-1,0,,
Thu Mar 28 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi cenderung melemah terbetas,MNC Sekuritas^IHSG diprediksi cenderung melemah terbetas^,7099,7454,,-1,-0.29,-1,1,,
Mon Apr 01 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,IHSG berpeluang rebound ,RHB Sekuritas^IHSG berpeluang rebound ^,7200,7400,,1,-1.15,-1,0,,
Mon Apr 01 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi masih berpeluang menguat,MNC Sekuritas^IHSG diprediksi masih berpeluang menguat^,7099,7454,,1,-1.15,-1,0,,
Tue Apr 02 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG berpeluang kembali ke atas level psikologis 7300 ,Phintraco Sekuritas^IHSG berpeluang kembali ke atas level psikologis 7300 ^,,7380,,1,0.44,1,1,,
Tue Apr 02 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diperkirakan akan menguji area support,MNC Sekuritas^IHSG diperkirakan akan menguji area support^,7045,7454,,0,0.44,1,0,,
Wed Apr 03 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,IHSG berpotensi menguji resisten 7282 ,BRI Danareksa Sekuritas^IHSG berpotensi menguji resisten 7282 ^,7099,7282,,1,-0.97,-1,0,,
